---config@码表分类=主码-5
---config@码表别名=系統詞庫
---config@允许编辑=是

#基础词库
愛護	ah#序30000
繞圈子	rqzi#序15000
熱成層	ricg#序15000
熱導率	rdlv#序15000
熱電偶	rdou#序15000
熱電站	rdvj#序15000
熱定型	rdxk#序15000
熱風爐	rflu#序15000
科文	kewf#序15000
熱輻射	rfue#序15000
熱功當量	rgdd#序15000
熱固性	rgxk#序15000
熱核反應	rhff#序15000
熱核武器	rhww#序15000
熱加工	rjgs#序15000
海寧	hdnk#序15000
熱交換	rjhr#序15000
浴血	yuxt#序15000
財貨	cdho#序15000
熱力學	rlxt#序15000
熱烈歡迎	rlhh#序15000
熱門話題	rmhh#序15000
熱門貨	rmho#序15000
熱敏	remb#序15000
熱敏電阻	rmdd#序15000
熱膨脹	rpvh#序15000
熱平衡	rphg#序15000
熱容量	rrll#序15000
單證	djvg#序15000
熱水器	ruqi#序15000
熱塑性	rsxk#序15000
熱線電話	rxdd#序15000
熱效應	rxyk#序15000
塌下	taxx#序15000
熱陰極	ryji#序15000
熱運動	ryds#序15000
熱載體	rzti#序15000
熱中子	rvzi#序15000
人才出眾	rcii#序15000
跳入	tnru#序15000
厭棄	yjqi#序15000
人財兩空	rcll#序15000
人大常委會	rdiw#序15000
人道主義	rdvv#序15000
趣談	qutj#序15000
人丁興旺	rdxx#序15000
人浮於事	rfyy#序15000
人工智能	rgvv#序15000
人海戰術	rhvv#序15000
人機交互	rjjj#序15000
人際關係	rjgg#序15000
人均收入	rjuu#序15000
人口普查	rkpp#序15000
人來人往	rlrr#序15000
人民出版社	rmib#序15000
人民大會堂	rmdh#序15000
人民代表	rmdd#序15000
人民代表大會	rmdd#序15000
人民法院	rmff#序15000
人民共和國	rmgh#序15000
人民檢察院	rmji#序15000
大呢	dane#序15000
人民解放軍	rmjf#序15000
人民警察	rmjj#序15000
不窮	buqs#序15000
人民軍隊	rmjj#序15000
人民利益	rmll#序15000
人民內部矛盾	rmnm#序15000
人民群眾	rmqq#序15000
人民日報	rmrr#序15000
王明	whmk#序15000
人民銀行	rmyy#序15000
人民政府	rmvv#序15000
可食	keui#序15000
人情味	rqww#序15000
人人皆知	rrjj#序15000
人人有責	rryy#序15000
人身權	ruqr#序15000
人身自由	ruzz#序15000
人生地不熟	rudb#序15000
合桃	hetc#序15000
人生在世	ruzz#序15000
人生哲學	ruvv#序15000
人手一冊	ruyy#序15000
人壽保險	rubb#序15000
人所共知	rsgg#序15000
行開	xkkd#序15000
人頭稅	rtuv#序15000
人煙稀少	ryxx#序15000
人贓俱獲	rzjj#序15000
杏子	xkzi#序15000
人造革	rzge#序15000
人造毛	rzmc#序15000
人造棉	rzmm#序15000
使女	uinv#序15000
人造絲	rzsi#序15000
人造衛星	rzww#序15000
忍俊不禁	rjbb#序15000
忍氣吞聲	rqtt#序15000
屍身	uiuf#序15000
施暴	uibc#序15000
任何人	rhrf#序15000
射向	uexl#序15000
韌皮部	rpbu#序15000
日本國	rbgo#序15000
日本人	rbrf#序15000
日產量	rill#序15000
日常工作	rigg#序15000
日常生活	riuu#序15000
日復一日	rfyy#序15000
日記本	rjbf#序15000
日久見人心	rjjr#序15000
日內瓦	rnwa#序15000
日用品	rypb#序15000
日月潭	rytj#序15000
溫文	wfwf#序15000
榮辱與共	rryy#序15000
過水	gouv#序15000
容不得	rbde#序15000
溶解度	rjdu#序15000
融為一體	rwyy#序15000
如出一轍	riyy#序15000
如此等等	rcdd#序15000
如此說來	rcuu#序15000
如法炮製	rfpp#序15000
如果說	rguo#序15000
如上所述	russ#序15000
如是說	ruuo#序15000
如願以償	ryyy#序15000
孺子牛	rznq#序15000
乳狀液	rvye#序15000
乳濁劑	rvji#序15000
入口處	rkiu#序15000
入學率	rxlv#序15000
軟包裝	rbvl#序15000
軟碟	rrdp#序15000
軟件包	rjbc#序15000
軟科學	rkxt#序15000
軟任務	rrwu#序15000
軟弱無力	rrww#序15000
軟弱性	rrxk#序15000
川崎	irqi#序15000
軟脂酸	rvsr#序15000
軟指標	rvbn#序15000
六經	lqjk#序15000
銳意進取	ryjj#序15000
反為	fjww#序15000
潤滑脂	rhvi#序15000
弱不禁風	rbjj#序15000
孔教	ksjn#序15000
撒手不管	subb#序15000
薩爾瓦多	seww#序15000
塞爾維亞	seww#序15000
三八婦女節	sbfn#序15000
三八紅旗手	sbhq#序15000
三八節	sbjp#序15000
三百六十行	sblu#序15000
三部曲	sbqu#序15000
正邪	vgxp#序15000
三段式	sdui#序15000
三好學生	shxx#序15000
三合板	shbj#序15000
先達	xmda#序15000
三和絃	shxm#序15000
三極管	sjgr#序15000
三角方程	sjff#序15000
三角函數	sjhh#序15000
三角皮帶	sjpp#序15000
竹笙	vuug#序15000
三角形	sjxk#序15000
伸冤	ufyr#序15000
三結合	sjhe#序15000
三連冠	slgr#序15000
三聯單	sldj#序15000
三門峽	smxx#序15000
三通閥	stfa#序15000
三葉期	syqi#序15000
走時	zzui#序15000
三中全會	svqq#序15000
三資企業	szqq#序15000
三座大山	szdd#序15000
喪盡天良	sjtt#序15000
喪心病狂	sxbb#序15000
掃描儀	smyi#序15000
森林資源	slzz#序15000
殺雞給猴看	ujgh#序15000
殺菌劑	ujji#序15000
殺人不見血	urbj#序15000
信經	xbjk#序15000
殺人不眨眼	urbv#序15000
殺人放火	urff#序15000
沙特阿拉伯	utal#序15000
山高水長	uguu#序15000
山洪暴發	uhbb#序15000
追數	vvuu#序15000
杉篙	uagc#序15000
接住	jpvu#序15000
添丁	tmdk#序15000
閃爍其辭	uuqq#序15000
惡事	eeui#序15000
善解人意	ujrr#序15000
贍養費	uyfw#序15000
肅貪	sutj#序15000
傷痕累累	uhll#序15000
黑房	hwfh#序15000
商標法	ubfa#序15000
裝身	vluf#序15000
墊底	dmdi#序15000
商品化	uphx#序15000
商品經濟	upjj#序15000
商品流通	upll#序15000
商品率	uplv#序15000
商品生產	upuu#序15000
舉步	jubu#序15000
商學院	uxyr#序15000
羅莎	loua#序15000
商業發票	uyff#序15000
商業街	uyjp#序15000
商業區	uyqu#序15000
商業網	uywh#序15000
商酌	uhvo#序15000
上半部	ubbu#序15000
上半場	ubih#序15000
上半年	ubnm#序15000
化水	hxuv#序15000
上層建築	ucjj#序15000
上竄下跳	ucxx#序15000
上個星期	ugxx#序15000
由得	yzde#序15000
上個月	ugyt#序15000
地契	diqi#序15000
上進心	ujxb#序15000
上情下達	uqxx#序15000
上下文	uxwf#序15000
上星期	uxqi#序15000
上一個	uyge#序15000
宏達	hsda#序15000
稍縱即逝	uzjj#序15000
少年兒童	unee#序15000
少年先鋒隊	unxf#序15000
少年之家	unvv#序15000
少數民族	uumm#序15000
爭逐	vgvu#序15000
少數人	uurf#序15000
少先隊員	uxdd#序15000
少一點	uydm#序15000
保鑣	bcbn#序15000
捨本逐末	ubvv#序15000
捨己救人	ujjj#序15000
捨生忘死	uuww#序15000
社會保險	uhbb#序15000
鬼故	gvgu#序15000
商數	uhuu#序15000
密教	mijn#序15000
社會風氣	uhff#序15000
社會福利	uhff#序15000
社會公德	uhgg#序15000
社會關係	uhgg#序15000
社會活動	uhhh#序15000
社會科學	uhkk#序15000
社會上	uhuh#序15000
社會實踐	uhuu#序15000
社會問題	uhww#序15000
社會效益	uhxx#序15000
社會主義	uhvv#序15000
萬古	wjgu#序15000
社會主義革命	uhvg#序15000
置入	viru#序15000
社會主義建設	uhvj#序15000
社科院	ukyr#序15000
涉外經濟	uwjj#序15000
戰力	vjli#序15000
伸張正義	uvvv#序15000
應計	ykji#序15000
身殘志堅	ucvv#序15000
簿冊	buce#序15000
身份證	ufvg#序15000
身兼數職	ujuu#序15000
身強體壯	uqtt#序15000
身體健康	utjj#序15000
身體素質	utss#序15000
身心健康	uxjj#序15000
大聖	daug#序15000
深加工	ujgs#序15000
深入基層	urjj#序15000
未然	wwrj#序15000
深入研究	uryy#序15000
深受其害	uuqq#序15000
深信不疑	uxbb#序15000
深有同感	uytt#序15000
神經節	ujjp#序15000
神經衰弱	ujuu#序15000
西港	xigh#序15000
神經系統	ujxx#序15000
神經細胞	ujxx#序15000
神經纖維	ujxx#序15000
神經中樞	ujvv#序15000
神祕感	umgj#序15000
神祕化	umhx#序15000
神農架	unjx#序15000
受邀	uzyc#序15000
審計署	ujuu#序15000
審判長	upvh#序15000
審判長	upih#序15000
金元	jbyr#序15000
審判官	upgr#序15000
審判權	upqr#序15000
腎功能	ugng#序15000
腎上腺素	uuxx#序15000
滲碳	uftj#序15000
滲透性	utxk#序15000
滲透壓	utya#序15000
慎之又慎	uvyy#序15000
升學率	uxlv#序15000
套管	tcgr#序15000
師公	uigs#序15000
生產成本	uiii#序15000
格子	gezi#序15000
生產單位	uidd#序15000
送電	ssdm#序15000
生產方式	uiff#序15000
生產關係	uigg#序15000
生產國	uigo#序15000
生產過程	uigg#序15000
生產量	uill#序15000
悲慟	bwts#序15000
生產能力	uinn#序15000
絕頂	jtdk#序15000
著緊	vcjb#序15000
匯展	hvvj#序15000
愚人	yurf#序15000
生產性	uixk#序15000
生產責任制	uizr#序15000
生動活潑	udhh#序15000
電擊	dmji#序15000
生兒育女	ueyy#序15000
生活必需品	uhbx#序15000
生活方式	uhff#序15000
福安	fuan#序15000
生活條件	uhtt#序15000
生活作風	uhzz#序15000
生機盎然	ujaa#序15000
生理學	ulxt#序15000
生米煮成熟飯	umvu#序15000
生命力	umli#序15000
生命線	umxm#序15000
鹹魚	xmyu#序15000
生命在於運動	umzy#序15000
生石灰	uuhv#序15000
生態環境	uthh#序15000
人精	rfjk#序15000
生態平衡	utpp#序15000
生物電	uwdm#序15000
上編	uhbm#序15000
生物工程	uwgg#序15000
生物界	uwjp#序15000
生物圈	uwqr#序15000
生物武器	uwww#序15000
生物製品	uwvv#序15000
大旗	daqi#序15000
生意興隆	uyxx#序15000
生殖細胞	uvxx#序15000
勾勒	gzle#序15000
勝不驕敗不餒	ubjb#序15000
心寒	xbhj#序15000
勝利果實	ulgg#序15000
勝利在望	ulzz#序15000
勝利者	ulve#序15000
繩鋸木斷	ujmm#序15000
繩之以法	uvyy#序15000
省軍區	ujqu#序15000
好賣	hcmd#序15000
省轄市	uxui#序15000
省直機關	uvjj#序15000
有據	yzju#序15000
聖誕節	udjp#序15000
聖誕卡	udka#序15000
盛況空前	ukkk#序15000
似足	uizu#序15000
剩餘產品	uyii#序15000
剩餘勞動	uyll#序15000
屍骨未寒	ugww#序15000
尸位素餐	uwss#序15000
失敗乃成功之母	ubnv#序15000
失而復得	ueff#序15000
失落感	ulgj#序15000
失物招領	uwvv#序15000
兔仔	tuzi#序15000
失足青年	uzqq#序15000
奉為	fgww#序15000
失足者	uzve#序15000
師範大學	ufdd#序15000
師範學院	ufxx#序15000
施工單位	ugdd#序15000
施加壓力	ujyy#序15000
十二月份	ueyy#序15000
約談	yttj#序15000
十二指腸	uevv#序15000
十進位制	ujww#序15000
真言	vfyj#序15000
十進制	ujvi#序15000
十九世紀	ujuu#序15000
十六進制	uljj#序15000
十年動亂	undd#序15000
十年九不遇	unjb#序15000
十年樹木	unuu#序15000
十萬八千里	uwbq#序15000
十一國慶節	uygq#序15000
十一月份	uyyy#序15000
十月革命	uygg#序15000
十之八九	uvbb#序15000
雪條	xttn#序15000
石蕊	uirv#序15000
期考	qikc#序15000
石油勘探	uykk#序15000
石油輸出國組織	uyuz#序15000
時代感	udgj#序15000
時斷時續	uduu#序15000
時間表	ujbn#序15000
時刻表	ukbn#序15000
極致	jivi#序15000
解封	jpfg#序15000
時隱時現	uyuu#序15000
時至今日	uvjj#序15000
識時務者為俊傑	uuwj#序15000
劃過	hxgo#序15000
實報實銷	ubuu#序15000
盡皆	jbjp#序15000
實際成本	ujii#序15000
實際上	ujuh#序15000
樂師	ytui#序15000
實力派	ulpd#序15000
士女	uinv#序15000
實習期	uxqi#序15000
不啻	buii#序15000
實業界	uyjp#序15000
不暢	buih#序15000
實用主義	uyvv#序15000
實質上	uvuh#序15000
實質性	uvxk#序15000
主業	vuye#序15000
食品廠	upih#序15000
食品店	updm#序15000
食品工業	upgg#序15000
食品衛生	upww#序15000
矢量積	ulji#序15000
使用價值	uyjj#序15000
同義	tsyi#序15000
世代相傳	udxx#序15000
世紀末	ujmo#序15000
世界大戰	ujdd#序15000
伸直	ufvi#序15000
世界第一	ujdd#序15000
世界觀	ujgr#序15000
世界紀錄	ujjj#序15000
世界經濟	ujjj#序15000
世界歷史	ujll#序15000
東平	dspk#序15000
世界市場	ujuu#序15000
世界屋脊	ujww#序15000
世界銀行	ujyy#序15000
削價	xtjx#序15000
世外桃源	uwtt#序15000
市場部	uibu#序15000
市場調查	uidd#序15000
市場化	uihx#序15000
市場價格	uijj#序15000
市場經濟	uijj#序15000
要著	ycvo#序15000
要著	ycvu#序15000
要著	ycve#序15000
市場體系	uitt#序15000
市場信息	uixx#序15000
咭片	jipm#序15000
畜生	iuug#序15000
市場預測	uiyy#序15000
市政府	uvfu#序15000
清心	qkxb#序15000
市中心	uvxb#序15000
示波管	ubgr#序15000
喜宴	xiyj#序15000
示功圖	ugtu#序15000
示威遊行	uwyy#序15000
湧進	ysjb#序15000
示威者	uwve#序15000
示意圖	uytu#序15000
事不宜遲	ubyy#序15000
象山	xluj#序15000
事關重大	ugvv#序15000
事務所	uwso#序15000
事業單位	uydd#序15000
事與願違	uyyy#序15000
勢不可擋	ubkk#序15000
勢力範圍	ulff#序15000
勢在必行	uzbb#序15000
摧折	cvve#序15000
視同兒戲	utee#序15000
試金石	ujui#序15000
試運轉	uyvr#序15000
試製品	uvpb#序15000
壓死	yasi#序15000
是不是	ubui#序15000
醫好	yihc#序15000
雜菜	zacd#序15000
騙徒	pmtu#序15000
適得其反	udqq#序15000
適可而止	ukee#序15000
適銷對路	uxdd#序15000
誓不罷休	ubbb#序15000
誓師大會	uudd#序15000
收發室	ufui#序15000
收購額	ugee#序15000
小覷	xnqu#序15000
不仁	burf#序15000
不倫	buly#序15000
收件人	ujrf#序15000
收信人	uxrf#序15000
水生	uvug#序15000
收音機	uyji#序15000
收支平衡	uvpp#序15000
手扶拖拉機	uftl#序15000
付帳	fuvh#序15000
出鏡	iujk#序15000
半途	bjtu#序15000
手工藝品	ugyy#序15000
手提式	utui#序15000
手舞足蹈	uwzz#序15000
市井	uijk#序15000
手下留情	uxll#序15000
市分	uiff#序15000
守恆定律	uhdd#序15000
守信用	uxys#序15000
首創精神	uijj#序15000
有鬼	yzgv#序15000
首發式	ufui#序15000
死海	sihd#序15000
首腦會議	unhh#序15000
首席代表	uxdd#序15000
首要任務	uyrr#序15000
首戰告捷	uvgg#序15000
周禮	vzli#序15000
受到影響	udyy#序15000
受賄案	uhan#序15000
受騙上當	upuu#序15000
受益匪淺	uyff#序15000
知友	viyz#序15000
受之有愧	uvyy#序15000
售後服務	uhff#序15000
初九	iujq#序15000
既得	jide#序15000
售票口	upkz#序15000
書報費	ubfw#序15000
書記處	ujiu#序15000
疏密度	umdu#序15000
舒筋活血	ujhh#序15000
輸出變壓器	uiby#序15000
清繳	qkjn#序15000
輸油泵	uybg#序15000
熟門熟路	umuu#序15000
鼠標器	ubqi#序15000
束手待斃	uudd#序15000
街口	jpkz#序15000
恕不奉陪	ubff#序15000
恕我直言	uwvv#序15000
數據傳輸	ujii#序15000
數據管理	ujgg#序15000
數據通信	ujtt#序15000
詩刊	uikj#序15000
電油	dmyz#序15000
數以千計	uyqq#序15000
數以萬計	uyww#序15000
數軸	uuvz#序15000
數字化	uzhx#序15000
數字通信	uztt#序15000
摔跟頭	ugtz#序15000
雙百方針	ubff#序15000
雙胞胎	ubtd#序15000
雙邊會談	ubhh#序15000
雙邊貿易	ubmm#序15000
雙軌制	ugvi#序15000
變黑	bmhw#序15000
雙季稻	ujdc#序15000
雙曲線	uqxm#序15000
雙糖	ulth#序15000
雙向選擇	uxxx#序15000
雙折射	uvue#序15000
雙子葉植物	uzyv#序15000
霜黴病	umbk#序15000
水玻璃	ubli#序15000
水產業	uiye#序15000
水電部	udbu#序15000
五色	wuse#序15000
水火不相容	uhbx#序15000
水解蛋白	ujdd#序15000
水力發電	ulff#序15000
水利工程	ulgg#序15000
卡鉗	kaqm#序15000
水陸交通	uljj#序15000
水平面	upmm#序15000
水上飛機	uuff#序15000
水土保持	utbb#序15000
水土流失	utll#序15000
水汙染	uwrj#序15000
稅務局	uwju#序15000
順流而下	ulee#序15000
順其自然	uqzz#序15000
順我者昌	uwvv#序15000
說不清	ubqk#序15000
說不準	ubvy#序15000
攻取	gsqu#序15000
說到做到	udzz#序15000
說話算數	uhss#序15000
奉召	fgvc#序15000
說老實話	uluu#序15000
說明書	umuu#序15000
說實話	uuhx#序15000
說閒話	uxhx#序15000
哀慟	aits#序15000
碩士學位	uuxx#序15000
絲綢之路	sivv#序15000
茄汁	qpvi#序15000
司法官	sfgr#序15000
剝皮	bcpi#序15000
司法機關	sfjj#序15000
司法權	sfqr#序15000
司令員	slyr#序15000
特訓	texy#序15000
私營經濟	syjj#序15000
思想包袱	sxbb#序15000
思想方法	sxff#序15000
思想感情	sxgg#序15000
庶務	uuwu#序15000
從西	csxi#序15000
御苑	yuyr#序15000
思想上	sxuh#序15000
掌摑	vhgk#序15000
思想體系	sxtt#序15000
斯堪的納維亞	skdw#序15000
斯里蘭卡	slll#序15000
對案	dvan#序15000
死對頭	sdtz#序15000
死規矩	sgju#序15000
死衚衕	shts#序15000
死難者	snve#序15000
死亡率	swlv#序15000
死心塌地	sxtt#序15000
死硬派	sypd#序15000
四邊形	sbxk#序15000
壞心	hkxb#序15000
四個現代化	sgxd#序15000
四合院	shyr#序15000
四化建設	shjj#序15000
四氯化碳	slhh#序15000
四面體	smti#序15000
四捨五入	suww#序15000
四項基本原則	sxjy#序15000
似懂非懂	sdff#序15000
鬆馳	ssii#序15000
宋體字	stzi#序15000
送話器	shqi#序15000
送貨上門	shuu#序15000
蘇維埃	swai#序15000
文殊	wfuu#序15000
塑料薄膜	slbb#序15000
塑料袋	sldd#序15000
塑性變形	sxbb#序15000
塑性材料	sxcc#序15000
酸處理	sili#序15000
酸溜溜	sllq#序15000
酸式鹽	suyj#序15000
打底	dadi#序15000
隨處可見	sikk#序15000
未解	wwjp#序15000
隨叫隨到	sjss#序15000
田雞	tmji#序15000
隨身攜帶	suxx#序15000
隨行人員	sxrr#序15000
隨之而來	svee#序15000
印本	ybbf#序15000
孫悟空	swks#序15000
孫子兵法	szbb#序15000
損人不利己	srbl#序15000
好叻	hcle#序15000
縮微膠片	swjj#序15000
年關	nmgr#序15000
所到之處	sdvv#序15000
所得稅	sduv#序15000
所屬單位	sudd#序15000
米路	milu#序15000
索馬里	smli#序15000
他們的	tmde#序15000
胎甲球	tjqq#序15000
性善	xkuj#序15000
臺北市	tbui#序15000
太極拳	tjqr#序15000
太平間	tpjm#序15000
太平天國	tptt#序15000
太平洋	tpyh#序15000
太陽電池	tydd#序15000
太陽輻射	tyff#序15000
太陽光	tygl#序15000
太陽能	tyng#序15000
太陽灶	tyzc#序15000
根性	gfxk#序15000
泰山壓頂	tuyy#序15000
海東	hdds#序15000
貪便宜	tpyi#序15000
高要	gcyc#序15000
貪汙盜竊	twdd#序15000
國音	goyb#序15000
貪小便宜	txpp#序15000
清光	qkgl#序15000
談判桌	tpvo#序15000
坦白從寬	tbcc#序15000
坦誠相待	tixx#序15000
坦桑尼亞	tsnn#序15000
探明儲量	tmii#序15000
探親訪友	tqff#序15000
探親假	tqjx#序15000
碳化硅	thgv#序15000
碳化物	thwu#序15000
碳氫化合物	tqhh#序15000
雲林	yylb#序15000
碳纖維	txww#序15000
極權	jiqr#序15000
糖化酶	thmw#序15000
糖衣炮彈	typp#序15000
過手	gouz#序15000
螳臂當車	tbdd#序15000
掏腰包	tybc#序15000
韜光養晦	tgyy#序15000
逃避現實	tbxx#序15000
陶冶情操	tyqq#序15000
討論會	tlhv#序15000
特別是	tbui#序15000
特此通知	tctt#序15000
特等獎	tdjl#序15000
特殊化	tuhx#序15000
特殊性	tuxk#序15000
特異功能	tygg#序15000
踢皮球	tpqq#序15000
大少	dauc#序15000
大神	dauf#序15000
不文	buwf#序15000
提高警惕	tgjj#序15000
比年	binm#序15000
四民	simb#序15000
提意見	tyjm#序15000
體改委	tgww#序15000
地水	diuv#序15000
體力勞動	tlll#序15000
體育場	tyih#序15000
體育鍛煉	tydd#序15000
體育活動	tyhh#序15000
體育界	tyjp#序15000
體育競賽	tyjj#序15000
體育新聞	tyxx#序15000
體育用品	tyyy#序15000
體育運動	tyyy#序15000
體脹係數	tvxx#序15000
體制改革	tvgg#序15000
替罪羊	tzyh#序15000
天安門	tamf#序15000
天安門廣場	tamg#序15000
天從人願	tcrr#序15000
天底下	tdxx#序15000
天各一方	tgyy#序15000
亞細	yaxi#序15000
天氣預報	tqyy#序15000
天然鹼	trjm#序15000
天然漆	trqi#序15000
天然氣井	trqq#序15000
天然絲	trsi#序15000
天然纖維	trxx#序15000
天時地利	tudd#序15000
天天向上	ttxx#序15000
天文單位	twdd#序15000
天文臺	twtd#序15000
法王	fawh#序15000
天文望遠鏡	twwy#序15000
天無絕人之路	twjv#序15000
初犯	iufj#序15000
天下第一	txdd#序15000
阻住	zuvu#序15000
天下為公	txww#序15000
天造地設	tzdd#序15000
相紙	xlvi#序15000
天主教	tvjn#序15000
重選	isxr#序15000
田間管理	tjgg#序15000
田徑運動	tjyy#序15000
旁述	phuu#序15000
甜酸	tmsr#序15000
甜酸苦辣	tskk#序15000
填充物	tiwu#序15000
填平補齊	tpbb#序15000
挑大樑	tdll#序15000
得食	deui#序15000
挑毛病	tmbk#序15000
掛慮	gxlv#序15000
條件反射	tjff#序15000
登車	dgie#序15000
條形碼	txma#序15000
鐵板一塊	tbyy#序15000
鐵磁性	tcxk#序15000
鐵道部	tdbu#序15000
鐵飯碗	tfwj#序15000
鐵路線	tlxm#序15000
當事	dhui#序15000
聽其自然	tqzz#序15000
種樹	vsuu#序15000
停車場	tiih#序15000
停火協議	thxx#序15000
停薪留職	txll#序15000
停滯不前	tvbb#序15000
通電話	tdhx#序15000
通風機	tfji#序15000
擁吻	yswf#序15000
通貨膨脹	thpp#序15000
通力合作	tlhh#序15000
通俗讀物	tsdd#序15000
通信兵	txbk#序15000
轉陰	vryb#序15000
通行無阻	txww#序15000
蠢動	iyds#序15000
通訊錄	txlu#序15000
通訊社	txue#序15000
通訊衛星	txww#序15000
通知單	tvdj#序15000
通知書	tvuu#序15000
同出一轍	tiyy#序15000
大車	daie#序15000
同等學力	tdxx#序15000
小包	xnbc#序15000
同工同酬	tgtt#序15000
同工異曲	tgyy#序15000
同化作用	thzz#序15000
同類產品	tlii#序15000
同齡人	tlrf#序15000
同盟者	tmve#序15000
同命運	tmyy#序15000
外便	wdbm#序15000
同情心	tqxb#序15000
同時期	tuqi#序15000
同鄉會	txhv#序15000
同行業	thye#序15000
同軸電纜	tvdd#序15000
多向	doxl#序15000
統籌安排	tiaa#序15000
死火	siho#序15000
克己	keji#序15000
統計圖	tjtu#序15000
更鼓	gggu#序15000
足踝	zuhk#序15000
統一口徑	tykk#序15000
協理	xpli#序15000
統一思想	tyss#序15000
統一戰線	tyvv#序15000
統戰部	tvbu#序15000
捅馬蜂窩	tmff#序15000
偷天換日	tthh#序15000
頭一回	tyhv#序15000
頭暈目眩	tymm#序15000
投案自首	tazz#序15000
投筆從戎	tbcc#序15000
投放市場	tfuu#序15000
投井下石	tjxx#序15000
投入產出	trii#序15000
密實	miui#序15000
投資額	tzee#序15000
梵文	fjwf#序15000
投資銀行	tzyy#序15000
投資者	tzve#序15000
透明度	tmdu#序15000
透視圖	tutu#序15000
凸透鏡	ttjk#序15000
魚餌	yuer#序15000
突尼斯	tnsi#序15000
突破點	tpdm#序15000
突然間	trjm#序15000
新丁	xbdk#序15000
圖書館	tugr#序15000
圖文並茂	twbb#序15000
圖形卡	txka#序15000
徒勞無功	tlww#序15000
徒勞無益	tlww#序15000
聚落	julo#序15000
土地改革	tdgg#序15000
土地稅	tduv#序15000
土地證	tdvg#序15000
土法上馬	tfuu#序15000
土皇帝	thdi#序15000
土裡土氣	tltt#序15000
土黴素	tmsu#序15000
土木工程	tmgg#序15000
土壤改良	trgg#序15000
護髮	hufa#序15000
土洋結合	tyjj#序15000
土著居民	tvjj#序15000
土著人	tvrf#序15000
小艇	xntk#序15000
團代會	tdhv#序15000
團結一致	tjyy#序15000
團體冠軍	ttgg#序15000
團組織	tzvi#序15000
推動力	tdli#序15000
推而廣之	tegg#序15000
推廣應用	tgyy#序15000
退居二線	tjee#序15000
退伍軍人	twjj#序15000
退休費	txfw#序15000
託故	togu#序15000
托拉斯	tlsi#序15000
拖後腿	thtv#序15000
脫離實際	tluu#序15000
脫離危險	tlww#序15000
脫貧致富	tpvv#序15000
脫氧核糖	tyhh#序15000
陀螺儀	tlyi#序15000
妥善處理	tuii#序15000
拓荒者	thve#序15000
挖掘潛力	wjqq#序15000
後設	hzue#序15000
歪門邪道	wmxx#序15000
歪曲事實	wquu#序15000
外部設備	wbuu#序15000
飛赴	fwfu#序15000
外公切線	wgqq#序15000
桃源	tcyr#序15000
外國人	wgrf#序15000
骨場	guih#序15000
外國遊客	wgyy#序15000
外匯儲備	whii#序15000
外籍華人	wjhh#序15000
外籍人士	wjrr#序15000
外交關係	wjgg#序15000
猛力	mgli#序15000
外交官	wjgr#序15000
外交界	wjjp#序15000
外交使節	wjuu#序15000
外交途徑	wjtt#序15000
外接圓	wjyr#序15000
外力作用	wlzz#序15000
惡運	eeyy#序15000
外強中乾	wqvv#序15000
畫紙	hxvi#序15000
短劇	drju#序15000
外事處	wuiu#序15000
照做	vczo#序15000
外引內聯	wynn#序15000
外語系	wyxi#序15000
外資企業	wzqq#序15000
紈絝子弟	wkzz#序15000
完好無損	whww#序15000
完美無缺	wmww#序15000
憶念	yinm#序15000
戲服	xifu#序15000
完整無缺	wvww#序15000
完整性	wvxk#序15000
玩忽職守	whvv#序15000
烷基化	wjhx#序15000
雙膝	ulxi#序15000
晚婚晚育	whww#序15000
晚秋作物	wqzz#序15000
一更	yigg#序15000
婉言謝絕	wyxx#序15000
萬般無奈	wbww#序15000
萬變不離其宗	wbbq#序15000
萬古流芳	wgll#序15000
萬花筒	whts#序15000
萬家燈火	wjdd#序15000
萬念俱灰	wnjj#序15000
萬全之策	wqvv#序15000
萬事俱備	wujj#序15000
萬事如意	wurr#序15000
萬用電表	wydd#序15000
大錯	daco#序15000
亡命徒	wmtu#序15000
小羊	xnyh#序15000
王府井	wfjk#序15000
反串	fjir#序15000
巴力	bali#序15000
召妓	vcji#序15000
忘不了	wbln#序15000
打風	dafg#序15000
望風披靡	wfpp#序15000
望其項背	wqxx#序15000
吃吃	iiii#序15000
危機感	wjgj#序15000
危險品	wxpb#序15000
危險期	wxqi#序15000
死生	siug#序15000
死狗	sigz#序15000
危險性	wxxk#序15000
威迫利誘	wpll#序15000
威懾力量	wull#序15000
威脅利誘	wxll#序15000
威信掃地	wxss#序15000
求勝	qqug#序15000
微處理機	will#序15000
微處理器	will#序15000
微電子	wdzi#序15000
怕是	paui#序15000
微分方程	wfff#序15000
微觀經濟	wgjj#序15000
微觀世界	wguu#序15000
微量元素	wlyy#序15000
阿明	aamk#序15000
微型機	wxji#序15000
巍然屹立	wryy#序15000
指環	vihr#序15000
施與	uiyu#序15000
殃及	yhji#序15000
為虎作倀	whzz#序15000
為民除害	wmii#序15000
為期不遠	wqbb#序15000
香燭	xlvu#序15000
為人民服務	wrmf#序15000
為人師表	wruu#序15000
為時不晚	wubb#序15000
為時過早	wugg#序15000
常談	ihtj#序15000
為之一振	wvyy#序15000
韋編三絕	wbss#序15000
圍魏救趙	wwjj#序15000
違法必究	wfbb#序15000
違法行為	wfxx#序15000
解約	jpyt#序15000
